"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03756649","Mayo Clinic IBD Biobank",,"Enrolling by invitation","No Results Available","Inflammatory Bowel Diseases","Procedure: Blood Draw|Procedure: Urine Collection|Procedure: Stool Collection","Study Participants|Urine Collection|Blood Collection|Stool Collection","Mayo Clinic","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","18-007941","November 1, 2018","December 2065","December 2065","November 28, 2018",,"December 17, 2020","Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03756649"
2,"NCT01650311","Investigating Serotonin Signalling in IBD Patients","IBD","Recruiting","No Results Available","Inflammatory Bowel Disease",,"TPH1 and SERT expression|Receptor expressions","McMaster University","All","19 Years to 85 Years   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","12-239","July 2012","May 2021","May 2021","July 26, 2012",,"September 2, 2020","McMaster University Medical Center, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT01650311"
3,"NCT04205734","Methotrexate Polyglutamate Measurements in Patients With Inflammatory Bowel Disease",,"Recruiting","No Results Available","IBD","Diagnostic Test: MTX Assessment","Methotrexate Polyglutamate Level|The correlation between Methotrexate Polyglutamate Levels and Lab Parameters|The correlation between Methotrexate Polyglutamate Levels and Clinical History","Boston Children's Hospital","All","1 Year to 21 Years   (Child, Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","IRB-P00028947","January 30, 2021","December 31, 2021","December 31, 2021","December 19, 2019",,"March 4, 2021","Boston Children's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04205734"
4,"NCT02134054","Stavanger IBD Study - Cross Sectional","SUSI-CS","Active, not recruiting","No Results Available","Inflammatory Bowel Disease",,"Clinical remission rate|Symptom scoring|Inflammatory markers|Fatigue scoring","Helse Stavanger HF|Oslo University Hospital","All","16 Years and older   (Child, Adult, Older Adult)",,"210","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SUSI-CS_1","April 2014","November 2015","December 2021","May 8, 2014",,"February 5, 2020","Stavanger University Hospital, Stavanger, Norway",,"https://ClinicalTrials.gov/show/NCT02134054"
5,"NCT04733456","Brain Activity and Oxygenation Inflammatory Bowel Disease (IBD) Patients",,"Recruiting","No Results Available","IBD|Maladaptive Behavior Associated With Physical Illness","Behavioral: Quality of life questionnaires|Device: NIRS|Other: Stool Collection|Other: Blood and urine collection","a) Clinically: CD (decrease of >3 points in the modified Harvey-Bradshaw Index); UC (decrease of >2 points in the partial Mayo Score)|b) Radiographically: decrease in bowel wall thickness ≥25% in most affected segment with 2 point decrease in color Doppler signal score or normalization|c) Biomarker: decrease in fecal calprotectin >50% from baseline or ≤250 ug/g|d) Endoscopically (where available): CD (decrease in Simple Endoscopic Score for CD ≥50% from baseline); UC (decrease in Mayo endoscopic subscore ≥1 point from baseline)|(i) alterations in markers of bowel (defined by bowel ultrasound) and systemic inflammation.|(ii) reduction from baseline measurement of fecal calprotectin level.|(iii) specific gut microbiome and metabolomics signatures.|(iv) changes in symptom severity in IBD patients that respond (defined as above), or do not respond to anti-TNF therapy.","University of Calgary","All","18 Years to 85 Years   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","REB20-1873","April 26, 2021","January 5, 2025","January 5, 2026","February 2, 2021",,"April 28, 2021","University of Calgary, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT04733456"
6,"NCT02377258","IBD Cancer and Serious Infection in Europe","I-CARE","Active, not recruiting","No Results Available","IBD","Other: Non Interventional","assess prospectively the presence and the extent of safety concerns (cancers, especially, lymphoma, and serious infections risks) for anti-TNF alone or in combination with thiopurines among IBD patients.|Disease modification|ePRO|Benefit-Risk|Cost Efficacy","Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives","All","18 Years and older   (Adult, Older Adult)",,"13267","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","GETAID 2015-01","March 4, 2016","May 20, 2022","May 20, 2023","March 3, 2015",,"May 21, 2019","Chu Nancy, Vandoeuvre Les Nancy, France",,"https://ClinicalTrials.gov/show/NCT02377258"
7,"NCT04573400","Prevalence of Neuropsychiatric Manifestations in IBD Patients in Upper Egypt",,"Not yet recruiting","No Results Available","IBD","Other: HADS","Identify prevalence of neurological and psychological conditions associated with IBD.","Assiut University","All","18 Years and older   (Adult, Older Adult)",,"90","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","IBD and neuropsychiatry","January 1, 2021","January 1, 2022","May 1, 2022","October 5, 2020",,"October 5, 2020",,,"https://ClinicalTrials.gov/show/NCT04573400"
8,"NCT01551563","Stavanger University Hospital Inflammatory Bowel Disease Trial","SUSI","Recruiting","No Results Available","IBD",,"Clinical efficacy of IBD drug therapy|Fatigue in patients with coeliac disease - substudy|Fatigue in IBD|IBD and the intestinal microbiome","Helse Stavanger HF","All","16 Years to 80 Years   (Child, Adult, Older Adult)",,"600","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SUSI_1","April 2012","December 2022","December 2027","March 12, 2012",,"March 1, 2021","SUS, Stavanger, Norway",,"https://ClinicalTrials.gov/show/NCT01551563"
9,"NCT04296110","Impact of a Biofeedback Intervention on Microbiome, Metabolome, and Clinical Outcomes in Pediatric IBD (Study 2)",,"Recruiting","No Results Available","IBD","Behavioral: Biofeedback|Other: Music Relaxation Therapy","Disease activity( Fecal calprotectin)|Disease Activity (Crohn's disease)|Stress|Anxiety|Pediatric Quality of Life: scale|Depression|Stress-related changes in the microbiome|Stress-related changes in the metabolome.","Nationwide Children's Hospital","All","8 Years to 17 Years   (Child)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18-01100","March 12, 2020","March 1, 2022","March 1, 2023","March 5, 2020",,"January 12, 2021","Nationwide Childrens Hospital GI Clinic, Columbus, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04296110"
10,"NCT04782544","Ganglioside and IBD",,"Not yet recruiting","No Results Available","Inflammatory Bowel Diseases","Other: Buttermilk Powder|Other: Anhydrous Milk Fat","Disease activity index|ImproveCareNow Physician Global Assessment|IMPACT-III questionnaire|Intestinal integrity|Calprotectin|C-reactive protein","Children's Hospital of Orange County|Michael Wang|Kenneth Grant","All","9 Years to 21 Years   (Child, Adult)","Not Applicable","48","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","200109","April 15, 2021","June 15, 2022","September 15, 2022","March 4, 2021",,"March 4, 2021",,,"https://ClinicalTrials.gov/show/NCT04782544"
